full_address,nicks_with_at,email,name,phone_mobile,phone_landline,snils,passport,birthdate,inn,oms,age,mse,birth_certificate,driver_license,full_company_name
"Московская область, р-н. Красногорский, г. Красногорск, б-р. Красногорский, д. 9",@Profoundone1,11gkb.kadr@bk.ru,Пипенко Елена Александровна,семь девятьсот семьдесят пять девяносто два двести тринадцать двенадцать,четыре шесть один семь один ноль,триста шестьдесят восемь восемьсот шестьдесят два девяносто семь тысяч триста пятьдесят девять,три тысячи шестьсот двадцать четыре двести семьдесят восемьсот шестьдесят три,два два ноль восемь один девять семь пять,тридцать три двадцать два шестьдесят семь двадцать сорок три девяносто восемь,шестьсот одиннадцать девять тысяч триста шестьдесят пять тысяч двести сорок семь две тысячи сто восемьдесят два,семьдесят,пять ноль шестьсот шестьдесят один тринадцать тридцать семь,один тире жэ эс один семь четыре восемь два девять,семь пять шесть девять шесть семь ноль ноль четыре восемь,Индивидуальный предприниматель МЕЛКОНЯН ГЕОРГИЙ АЛБЕРТОВИЧ
"Иркутская область, р-н. Заларинский, рп. Залари, ул. Российская, д. 4",@millbilliken,11irjkf2022@mail.ru,Кузнецова Виктория Геннадьевна,семь девятьсот пятьдесят три семьсот двадцать три пятьдесят семь пятьдесят восемь,семьдесят два двадцать пять шестьдесят семь,двести девяносто семь триста тридцать два шестьсот шестьдесят восемь шестнадцать,восемьдесят шесть шесть семьдесят девять восемьдесят один восемьдесят семь,девятнадцать мая одна тысяча девятьсот восемьдесят семь года,четыреста девяносто три пятьсот девять сто семьдесят шесть девятьсот семнадцать,две тысячи шестьсот один девять тысяч триста восемьдесят один двадцать шесть тысяч двести девятнадцать,один,девять тысяч двести двадцать один миллион четыреста восемьдесят одна тысяча двести двадцать девять,шесть тире эн ха триста девяносто девять триста восемьдесят восемь,десять шестьдесят три девятьсот пятнадцать семьдесят восемь,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖЕМЧУЖИНА 2015"""
"Красноярский край, р-н. Рыбинский, г. Заозерный, ул. Советская, д. 53",@lisadaniellee,11kiselev@rambler.ru,Киселёв Дмитрий Вадимович,семь девятьсот шестьдесят пять пятьдесят двести тридцать один шесть,четыреста семьдесят три восемьсот двадцать четыре,три восемь шесть два три пять пять три два ноль один,один два ноль три восемь один четыре четыре пять девять,два ноль ноль три два ноль ноль пять,семьдесят девять семьдесят три девяносто шесть восемьдесят восемь тридцать один сорок шесть,двести шестьдесят сто девяносто четыре триста три шестьдесят четыре тридцать сорок,шестьдесят,двести четырнадцать семь миллионов триста одиннадцать тысяч четыреста пятьдесят четыре,двенадцать тире тэ я семьдесят семь пятьдесят семьдесят шесть,сорок семь двадцать пять пятьсот пятьдесят пять шестьсот шестнадцать,ИП Лапкевич Наталия Анатольевна
"Липецкая область, г. Липецк, пер. Клеверный, д. 18",@Schphilly,11mdou@inbox.ru,Авраменко Татьяна Андреевна,плюс семь девятьсот шестьдесят один девяносто семь пятьсот девяносто девять восемьдесят,пятьдесят семь девяносто семь пятьдесят семь,пятьсот шестьдесят три тысячи сто восемьдесят шесть восемьсот пятьдесят пять двадцать один,сорок один девятнадцать пятьдесят два пятьдесят восемь тридцать два,десять июня одна тысяча девятьсот тридцать девять года,семьдесят семь тридцать два девятнадцать четырнадцать двадцать семь пятьдесят,семь тысяч один девятьсот шестьдесят три сорок семь триста семнадцать триста пятьдесят два,сорок,двадцать семь восемьдесят пять тридцать два тридцать один,семь тире жэ и триста пятьдесят девять семьдесят четыре,шестьдесят четыре восемьдесят пять один один восемьдесят семь,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КУЗНЕЦОВСКАЯ ОСНОВНАЯ ШКОЛА НОВОАННИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ
"Волгоградская область, г. Волгоград, ул. им Хользунова, д. 18, к. 1",@21_Yeets,11melagro@mail.ru,Курышова Светлана,восемь девятьсот двадцать девятьсот шестьдесят шесть шестьдесят пять девять,пятьсот тридцать восемь шесть,двести восемьдесят девять восемь девятьсот пятьдесят двенадцать,шесть тысяч восемьсот шесть триста шестьдесят триста сорок девять,один два ноль четыре два ноль два пять,четыреста двадцать четыре триста восемьдесят два пятьсот двенадцать двести двадцать четыре,две тысячи пятьсот один девятьсот девяносто сто пять триста сорок шесть пятьсот шестнадцать,пятьдесят пять,одна тысяча шестьсот четырнадцать семь миллионов восемьсот тридцать тысяч шесть,один тире ы эс три пять два два четыре шесть,одна тысяча девятьсот девяносто пять девятьсот семьдесят семь пятьсот шесть,"Общество с ограниченной ответственностью ""Донметан"""
"Свердловская область, г. Качканар, ул. Новая, д. 14",@luv2play,11otriad@ppsrk.ru,Горбунов Михаил Сергеевич,семь девятьсот шестьдесят шесть пятьдесят шесть шестьсот сорок один восемьдесят четыре,триста пятьдесят девять сто тринадцать,ноль ноль один ноль два два четыре восемь один пять четыре,тридцать семь семь шестьсот шестнадцать сто двенадцать,девять января одна тысяча девятьсот сорок восемь года,девятьсот шестьдесят четыре семьсот пятьдесят девять четыреста тридцать шесть восемьсот шестьдесят восемь,пять тысяч четыреста одиннадцать девять тысяч триста пятьдесят одна тысяча пятьсот двадцать шесть пять тысяч сто шестьдесят,сорок три,тридцать три десять семьсот восемьдесят четыре сорок три сорок один,три тире ха че четырнадцать восемьдесят семь сорок один,три тысячи четыреста девяносто три восемьсот шесть восемьсот семьдесят,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТУХВАТУЛИН ДАМИР ВАЛЕРЖАНОВИЧ
"Камчатский край, р-н. Елизовский, г. Елизово, ул. Дальневосточная, д. 10а",@Naziriteworld,11pion58@pion.eao.ru,Татьяна Валерьевна Нестерова,восемь девятьсот семьдесят семь пятьдесят шесть триста семьдесят девять семнадцать,двадцать восемь четырнадцать тридцать восемь,девятьсот тридцать тысяч пятьсот семьдесят девять четыреста восемьдесят два тридцать четыре,один четыре один четыре девять пять пять три шесть один,два ноль ноль четыре два ноль ноль семь,семьсот семьдесят пять триста шестьдесят семь семьсот пятьдесят один девятьсот восемьдесят один,две тысячи сто один девять тысяч пятьсот десять три тысячи пятьсот двадцать четыре четыре тысячи сто шестьдесят семь,сорок пять,пятьсот восемнадцать девять миллионов двести тысяч шестьсот пятьдесят шесть,девять тире эс зэ семьдесят семь шестьдесят два шестьдесят восемь,сто девять сто одиннадцать двести девяносто семь,Индивидуальный предприниматель КУЗНЕЦОВ АЛЕКСАНДР МИХАЙЛОВИЧ
"Красноярский край, р-н. Енисейский, рп. Подтесово, пер. Заводской, д. 22",@Philma_Kraken,11pion58@post.eao.ru,Татьяна Валерьевна Нестерова,восемь девятьсот двадцать пять семьсот восемьдесят два тридцать три двадцать девять,двадцать сорок девять тридцать семь,восемь один восемь ноль ноль пять восемь семь три девять шесть,шестьдесят четыре десять четыреста двадцать два восемьдесят один,тридцать один октября две тысячи девять года,четыре два четыре два пять ноль семь три ноль пять ноль восемь,триста шестьдесят сто девяносто шесть триста шесть семьсот двадцать шесть три шесть,девяносто два,тридцать восемь восемнадцать пятьсот двадцать шесть сорок три восемьдесят шесть,пять тире и гэ сто тридцать шесть триста восемьдесят четыре,семьдесят четыре четырнадцать четыреста девяносто два девятьсот шестьдесят один,Индивидуальный предприниматель Каримова Лилия Ралифовна
"Свердловская область, р-н. Невьянский, п. Аять, ул. Станционная, д. 4",@ThePlasma,11sadik@rambler.ru,Саяпова Ирина Данисовна,семь девятьсот тридцать восемь сорок один двести двадцать восемьдесят семь,девяносто три пятьдесят один девяносто четыре,ноль четыре девять восемь два два пять четыре пять восемь восемь,девять тысяч пятьсот девяносто девять триста восемь сто,ноль шесть один два два ноль один девять,двадцать один пятьдесят два двадцать один семьдесят три семьдесят четыре семьдесят четыре,пять один ноль один девять два девять один ноль два шесть девять ноль три два один,пятьдесят восемь,три четыре ноль четыре пять шесть ноль семь восемь один четыре,девять тире ка тэ восемьсот шестьдесят двести пять,восемьдесят девять семьдесят восемь восемьдесят восемь сорок пять семь,Общество Ограничено Ответственностю КОМПЛЕКТСЕРВИС
"Самарская область, г. Тольятти, ул. Спортивная, д. 37",@sm5656,11school.vlz@mail.ru,Аряшкина Наталья Ивановна,восемь девятьсот шестьдесят два двести девяносто три девяносто тридцать семь,пятьсот десять восемьдесят пять,двести сорок пять восемьсот девятнадцать сорок два восемьдесят три,тридцать шесть девять восемьсот семнадцать четыреста три,двадцать сентября две тысячи двадцать три года,один ноль три один три ноль четыре два восемь четыре восемь три,одна тысяча девятьсот два тридцать две тысячи двадцать девять семь тысяч двести тридцать пять,девяносто пять,два четыре шестьсот девяносто два двадцать пять двадцать три,семь тире ы а четыреста девяносто один пятьсот тридцать два,тридцать шесть тридцать три двадцать восемь двадцать два шестьдесят,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ ПО ОБСЛУЖИВАНИЮ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ГОРОДСКОГО ОКРУГА ""ГОРОД КАСПИЙСК"""
"Рязанская область, г. Касимов, ул. Советская, д. 242",@Citrussnatch,12-czn@stavzan.ru,Малышева Людмила Алексеевна,семь девятьсот девяносто семь сорок восемь триста тридцать семь семьдесят семь,восемьсот двадцать два шестьсот пятьдесят,семь один ноль три пять два семь ноль шесть четыре восемь,семь тысяч сто восемнадцать четыреста пятьдесят восемь двести восемьдесят семь,двадцать февраля две тысячи десять года,шестьдесят семь один двадцать тридцать восемь восемьдесят три пятьдесят четыре,пять тысяч шестьсот два одиннадцать одна тысяча семьсот сорок двести тридцать два,восемьдесят два,шестьдесят шесть пятнадцать восемьсот двадцать семьдесят один двадцать четыре,четыре тире я эн двести девяносто пять семьсот семьдесят два,пять шесть пять один три один четыре один один ноль,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕБСТРОЙ"""
"Нижегородская область, р-н. Володарский, п. Мулино, ул. Новая, д. 13",@csundergraduate,12-guz-narkolog@kuzdrav.ru,Десятова Альбина Ринатовна,семь девятьсот пятьдесят тридцать один сто двадцать шесть тридцать,семьсот двадцать три двести сорок девять,пятьсот шесть восемьсот двадцать четыре семьдесят семь тысяч девяносто пять,девяносто четыре семьсот пятьдесят семь девятьсот четырнадцать,двадцать четыре марта одна тысяча девятьсот восемьдесят пять года,три тысячи семьсот шестьдесят девять шесть тысяч восемьсот двадцать семь семь тысяч пятьсот пятьдесят девять,три шесть ноль один девять три один один ноль шесть ноль пять один девять девять четыре,шестьдесят,девятнадцать тринадцать триста пятьдесят девять тридцать пять тридцать семь,пять тире жэ я пятьсот семьдесят восемь пятьсот шестьдесят,два восемь восемь три семь пять пять восемь четыре один,"Муниципальное дошкольное образовательное бюджетное учреждение ""Ежовский детский сад ""Солнышко"""
"Свердловская область, г. Екатеринбург, ул. Розы Люксембург, д. 40",@ihateaccounting69,12.bui@mail.ru,Буй Ван Хунг,семь девять ноль три шесть девять один семь ноль девять шесть,двадцать восемь девяносто два шестьдесят,шестьсот тридцать пять сто тридцать восемь четыреста девяносто два девяносто семь,четыре тысячи девятьсот семь семьсот одиннадцать триста девяносто три,двадцать девять августа одна тысяча девятьсот шестьдесят три года,две тысячи пятьсот тридцать пять пять тысяч семьсот семьдесят один пять тысяч сто,один ноль ноль один девять три три ноль три два семь четыре ноль восемь два четыре,девять,двадцать пятнадцать сто один тридцать восемьдесят девять,пять тире эль э семьдесят девять четырнадцать двадцать пять,шестьдесят восемь двадцать девять семьдесят четыре двадцать два пятьдесят пять,"Общество с ограниченной ответственностью ""АВТОЛИДЕР"""
"Архангельская область, г. Северодвинск, ул. Первомайская, д. 68",@pandabearpi,12.vika83@mail.ru,Шлапакова Виктория Фёдоровна,семь девятьсот тридцать девять пятьсот сорок пять тридцать четыре девяносто четыре,сорок двадцать восемь пятьдесят восемь,семьсот сорок семь тысяч семьсот восемьдесят три четыреста четыре пятьдесят два,четыре ноль ноль восемь три девять шесть четыре два шесть,двадцать восемь ноября две тысячи четыре года,восемь семь один ноль пять пять пять шесть шесть три один пять,шесть тысяч сто один девятьсот сорок три сто два шестьсот шестьдесят три шестьсот девятнадцать,семьдесят три,восемь два два три шесть шесть ноль четыре ноль семь ноль,три тире э е сто сорок восемь шестьсот девяносто три,четыре семь ноль восемь семь восемь семь шесть ноль пять,"Общество с ограниченной ответственностью ""СТРОЙ-ИНЕРТ"""
"Тамбовская область, г. Тамбов, ул. Менделеева, д. 13А",@AllyHas,120385g@mail.ru,Балашова Евгения Алексеевна,семь девятьсот девяносто семь девять семьсот сорок семь пятьдесят девять,два семь семь шесть четыре девять,девятьсот восемь четыреста семьдесят семьдесят пять тысяч двести двадцать семь,триста семнадцать семьсот четырнадцать двадцать четыре,один семь один два один девять четыре ноль,пять тысяч восемьсот тридцать пять пять тысяч девятнадцать четыре тысячи девятьсот пятьдесят два,четыреста девяносто один сто девяносто семь сто восемь пятьсот четырнадцать восемьдесят восемь семьдесят девять,семьдесят,двадцать шесть шесть четыреста шестьдесят семьдесят семь восемьдесят пять,десять тире эль ы два два восемь пять семь один,двадцать восемь тридцать триста пятьдесят семь сто семьдесят семь,"Общество с ограниченной ответственностью ""МегаТЭК"""
"Ульяновская область, р-н. Вешкаймский, рп. Вешкайма, ул. Свободы, д. 1",@i_drive_rape_vans,120687k@mail.ru,Саидахмедова Камила Аливердиевна,восемь девятьсот семьдесят шесть двадцать три девятьсот девяносто один семьдесят три,пятнадцать одиннадцать восемьдесят один,восемь шесть три семь четыре ноль два семь один два два,шестьдесят двадцать один шестьсот двадцать четыре семьсот тридцать девять,двадцать семь ноября одна тысяча девятьсот шестьдесят восемь года,пять тысяч тридцать семь пять тысяч пятьсот одиннадцать одна тысяча пятьсот семьдесят девять,сто тридцать один сто девяносто четыре сто шесть шестьсот семьдесят семьдесят девять двадцать три,девяносто девять,четыре тысячи восемьсот три семь миллионов шестьсот восемьдесят три тысячи восемьсот сорок пять,два тире эм бэ восемьдесят четыре восемьдесят восемь семьдесят шесть,восемьдесят восемь семьдесят четыре семьсот пятьдесят восемь четыреста пятьдесят семь,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВЕНЕЦКАЯ НАДЕЖДА АЛЕКСАНДРОВНА
"Респ. Татарстан, р-н. Алькеевский, с. Базарные Матаки, ул. Мира, д. 5",@toversations,12071992a@mail.ru,Юлия Владимировна Сибиркина,семь девять восемь пять один пять шесть ноль девять девять ноль,семьдесят четыре семьдесят три пятьдесят три,девятьсот восемьдесят пять тысяч восемьсот восемьдесят пять семьсот восемьдесят три двадцать пять,три тысячи четыреста двадцать один восемьсот девять семьсот сорок пять,девять октября одна тысяча девятьсот шестьдесят шесть года,девятьсот шестьдесят один сто два шестьсот пятьдесят один триста пятьдесят девять,восемьсот два двадцать четыре восемьдесят семьсот двенадцать пятьсот восемьдесят три,сто,две тысячи восемьсот двадцать восемь миллионов четыреста семьдесят две тысячи девятьсот один,двенадцать тире вэ дэ семь шесть два четыре четыре четыре,восемьсот шестьдесят три шестьсот тринадцать девятьсот шестьдесят,МУНИЦИПАЛЬНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 19
"Омская область, р-н. Омский, с. Лузино, ул. Советская, д. 1",@SecretsOfTheUnknown,12112011v@mail.ru,Бадмаева Наталья Очировна,семь девять девять пять пять пять пять один ноль шесть девять,восемьдесят семьдесят три тридцать два,пятьдесят восемьсот тридцать семь шестнадцать тысяч четыреста сорок девять,семьдесят девять пятьдесят шесть девяносто семь двадцать семь,двадцать восемь июня две тысячи восемь года,восемьдесят девять ноль пять двенадцать пятьдесят один восемь,восемь тысяч сто два сто сорок четыре тысячи сто двадцать пять одна тысяча пятьсот пятьдесят семь,двадцать,шесть девять два пять один три один три девять один пять,десять тире о я триста восемьдесят два девятьсот пятьдесят три,двадцать четыре восемнадцать шестьдесят шесть девяносто семь двенадцать,"МКУ""Многофункциональный центр предоставления гос.услуг"""
"Ростовская область, г. Волгодонск, ш. Октябрьское, д. 37",@buildinganewcomputer,121detsad@mail.ru,Прохорова Марина Михайловна,плюс семь девятьсот девяносто три сорок девятьсот двадцать девять семьдесят два,двести семьдесят два пятьсот шестьдесят шесть,сто пятьдесят сто сорок два тридцать пять девяносто четыре,семьдесят три двадцать четыре девяносто восемь пятьдесят четыре сорок девять,двадцать июня одна тысяча девятьсот семьдесят девять года,четыре тысячи восемьсот восемьдесят девять шесть тысяч шестьсот шестьдесят девять две тысячи двести двадцать четыре,две тысячи семьсот два двести одиннадцать одна тысяча семьсот девяносто шесть тысяч сто семьдесят,сто,девять тысяч триста двадцать один девять миллионов четыреста семьдесят одна тысяча пятьсот девятнадцать,четыре тире е ка ноль девять семь два пять восемь,семь тысяч шестьдесят девять четыреста шесть пятьсот один,Индивидуальный предприниматель АРАКЕЛЯН СЕДА ЕФРЕМОВНА
"Рязанская область, мкр. Заречный, ул. Октябрьская, д. 8",@Discomfitting_SOB,123456atn@mail.ru,Татьяна Николаевна,восемь девятьсот семьдесят девять один пятьсот семьдесят пятьдесят девять,пятьдесят семь шестнадцать девяносто три,шесть два шесть восемь восемь девять ноль два один три девять,пять тысяч триста двадцать три триста семьдесят девять шестьсот сорок пять,восемнадцать июля две тысячи семнадцать года,ноль семь восемь ноль один восемь семь шесть девять девять пять ноль,один четыре два два ноль ноль девять ноль семь один восемь ноль один один девять шесть,девяносто семь,девятьсот четырнадцать восемь миллионов сто восемьдесят пять тысяч четыреста девяносто три,двенадцать тире вэ э двести четырнадцать семьсот пятнадцать,один пять два один ноль три один семь семь три,"Общество с ограниченной ответственностью Частная охранная организация ""Титан"""
"Иркутская область, г. Иркутск, б-р. Рябикова, д. 1",@mfenergy,123atoc321@mail.ru,Тапехин Александр Владимирович,семь девятьсот тридцать пять восемьдесят девять пятьсот девяносто четыре девяносто семь,восемь пять девять семь семь два,четыреста сорок четыре четыреста сорок девять девять тысяч четыреста девяносто семь,один два один четыре пять семь четыре семь шесть ноль,семнадцать сентября две тысячи двадцать один года,шестьдесят три шестьдесят четыре пятьдесят четыре пятьдесят четыре семьдесят шесть девятнадцать,четыре тысячи двести два четырнадцать сорок шесть девятьсот девятнадцать триста тридцать один,девяносто четыре,два шесть ноль пять шесть девять ноль два два пять два,одиннадцать тире дэ гэ три шесть девять девять ноль один,три пятьдесят пять девяносто восемь шестьдесят два двадцать один,Николай александрович Кабанов
"Иркутская область, г. Иркутск, ул. Бабушкина, д. 16б",@ggggggforce,124cad@mail.ru,Елена Николаевна Турищева,плюс семь девятьсот двадцать один сто шестьдесят восемь семь девяносто три,тридцать восемь восемь сорок четыре,семьсот семьдесят одна тысяча шестьсот шестьдесят девять девятьсот шестьдесят шестьдесят пять,один восемь один четыре два три ноль три девять семь,двадцать четыре июня две тысячи семнадцать года,семьсот девяносто восемьсот пятьдесят четыре шестьсот двадцать два двести восемьдесят два,восемь тысяч девятьсот один девятьсот пятьдесят три сорок два тридцать один триста шестьдесят восемь,шестьдесят три,сорок четыре двадцать один шестьсот четыре шестьдесят пять восемьдесят два,десять тире тэ и восемьсот шестьдесят три восемьсот двенадцать,восемь тысяч двести пятьдесят девять четыреста семьдесят восемь триста сорок семь,Индивидуальный предприниматель Ковалюк Елена Анатольевна
"Свердловская область, р-н. Богдановичский, п. Полдневой, ул. Свердлова, д. 2, стр. а",@FFS_Already,12698ssaw@mail.ru,Светлана,семь девять пять ноль восемь шесть семь пять пять семь один,восемьдесят девять семьдесят восемь девяносто два,пятьсот семьдесят две тысячи двести пятьдесят пять шестьсот пятьдесят семь пять,сорок два три сорок девять восемьдесят семьдесят три,ноль один один два один девять восемь семь,триста пятьдесят девять семьсот шестьдесят три шестьсот пятнадцать сто двадцать девять,четыре ноль ноль один девять семь восемь один один один один девять пять семь пять шесть,восемьдесят восемь,семьдесят шесть четырнадцать сто девяносто пятьдесят пять восемнадцать,четыре тире че и краткое девятьсот пятьдесят четыре пятьсот девятнадцать,девяносто три семьдесят три шестьсот тридцать шесть триста двадцать четыре,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРЬИНСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ"""
"Иркутская область, г. Иркутск, ул. Сибирских Партизан, д. 21",@Casualamathrowaway3,126detsad@mail.ru,Цой-Зубец Юлия Викторовна,плюс семь девять один ноль четыре ноль четыре девять шесть два два,сорок девять сорок четыре восемьдесят шесть,шестьсот двадцать три тысячи семьсот девяносто триста восемьдесят два три,восемьдесят два девяносто семь пятьдесят четыре шестьдесят девять шестьдесят два,два пять ноль один два ноль ноль девять,два два один шесть ноль три два семь семь пять пять шесть,двадцать сто девяносто пять двести десять семьсот девяносто шесть двадцать два восемь,девяносто один,восемь шесть один три шесть один три восемь два четыре три,девять тире я эс шесть два шесть пять пять ноль,девять тысяч пятьсот сорок три семьсот шестьдесят четыре семьсот,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад комбинированного вида № 397
"Курганская область, г. Шадринск, ул. Михайловская, д. 91",@kamlahd,127mou@mail.ru,Андрийце Татьяна Сергеевна,восемь девятьсот семьдесят шесть четыреста сорок семь тридцать два семьдесят два,тридцать шесть пятьдесят девять сорок семь,три четыре шесть шесть четыре пять два девять два ноль один,пять двадцать два тридцать восемь двадцать четыре двадцать шесть,четыре апреля одна тысяча девятьсот девяносто семь года,сорок три девяносто восемь девятьсот шесть шестьдесят один,шесть тысяч одиннадцать девятьсот девяносто семь восемьдесят семь триста сорок восемь сто сорок шесть,двадцать три,два три один два пять три семь три семь три семь,десять тире тэ че четыре два шесть четыре семь девять,две тысячи триста восемьдесят три двести шестьдесят шесть девятьсот семьдесят три,"Частное образовательное учреждение дополнительного профессионального образования Автошкола ""Автомобилист"""
"Тамбовская область, р-н. Никифоровский, рп. Дмитриевка, мкр. Сахзавод, д. 73",@sdfjh87,12_ou0009@mail.ru,Дергунова Юлия Петровна,семь девять восемь девять один девять семь четыре семь восемь один,семьдесят семь семьдесят три восемьдесят три,шестьсот девяносто четыре четыреста пятьдесят три восемьсот двадцать один сорок два,сорок девять девять четыреста семьдесят два пятьсот восемьдесят шесть,тридцать августа две тысячи девять года,тридцать двенадцать семьдесят восемь двадцать четыре восемьдесят пять восемьдесят,три тысячи семьсот один девять тысяч четыреста сорок один две тысячи сто семьдесят шесть тысяч двести шестьдесят четыре,шестьдесят восемь,два девять один пять четыре пять один четыре ноль девять три,девять тире и краткое ы двести семьдесят один шестьсот сорок четыре,три четыре три три восемь восемь ноль пять четыре пять,"ООО ""АЙБОЛИТ"""
"Забайкальский край, г. Чита, ул. Аргунская, д. 65",@nodester101,12_ou06@mail.ru,Ильичева Гульнара Рифатовна,плюс семь девять семь четыре пять два ноль восемь семь шесть три,восемьдесят четыре восемьдесят семь двадцать восемь,шестьсот шестьдесят восемь девятьсот пятьдесят семь четыреста восемьдесят четыре девяносто пять,восемь тысяч пятнадцать триста пять четыреста восемьдесят один,четырнадцать мая одна тысяча девятьсот восемьдесят пять года,шестьсот двенадцать девятьсот девяносто четыре девяносто пять двадцать девять,пять тысяч пятьсот один девятьсот девяносто один сто одиннадцать триста пятьдесят девять триста семьдесят девять,тридцать,сорок семь восемь триста сорок девять семьдесят один двадцать девять,восемь тире вэ вэ восемьсот семнадцать двести девяносто два,один восемь два восемь четыре восемь восемь девять один шесть,"Муниципальное предприятие ""Аптека №35"""
"Московская область, г. Долгопрудный, ш. Лихачевское, д. 13, к. 3",@jmarks7448,12_ou08@mail.ru,Муллина Тамара Александровна,восемь девять пять семь ноль пять пять ноль шесть шесть три,двадцать девять восемьдесят четыре девяносто шесть,пять девять один шесть ноль семь четыре девять три один девять,один четырнадцать девяносто девять тридцать четыре девяносто четыре,двадцать июня две тысячи восемнадцать года,шесть один шесть один два три пять девять восемь восемь шесть семь,одна тысяча шестьсот один девятьсот семьдесят девять девяносто семь триста шестьдесят девятьсот сорок,двадцать семь,восемнадцать десять семьсот девяносто три двадцать девять пятьдесят два,девять тире эль ща девятьсот пятнадцать восемьсот пятьдесят четыре,тридцать шесть тридцать четыре девять четыреста шестьдесят один,Общество с ограниченной ответственностью  Силовой Элемент
"Волгоградская область, г. Волгоград, пр-кт. им В.И.Ленина, д. 105",@Allllliiiii,12_posohina@sanepid.ru,Посохина Елена Владимировна,плюс семь девятьсот шестьдесят пять девятьсот семьдесят один семьдесят восемь семьдесят восемь,четыре один шесть восемь пять один,четыре ноль два ноль ноль ноль семь ноль семь семь восемь,девяносто восемь семнадцать семьдесят пять девяносто шесть сорок девять,два один один один два ноль ноль пять,один три девять три четыре шесть четыре семь восемь восемь ноль ноль,ноль два ноль один девять три девять ноль пять семь три два восемь ноль семь пять,двенадцать,двадцать один восемнадцать сто семь тридцать пять восемьдесят четыре,три тире бэ эн шесть пять девять семь два шесть,девятнадцать тридцать пять пятьдесят семь сорок четыре восемьдесят четыре,УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ЧЕРДЫНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ПЕРМСКОГО КРАЯ
